turn,speaker,chars,words,tokens_est
361,user,844,154,211
362,gpt,818,144,204
363,user,3199,548,799
364,user,251,51,62
365,gpt,2253,381,563
366,user,211,43,52
367,gpt,2871,461,717
368,user,274,50,68
369,gpt,4493,723,1123
370,user,232,47,58
371,gpt,2510,418,627
372,user,64,15,16
373,gpt,2108,369,527
374,user,35,6,8
375,gpt,1804,274,451
376,user,44,7,11
377,gpt,3675,551,918
378,user,262,52,65
379,gpt,3379,552,844
380,user,29,6,7
381,gpt,2018,354,504
382,user,72,15,18
383,gpt,1204,211,301
384,user,88,16,22
385,gpt,1411,232,352
386,user,14,3,3
387,gpt,553,100,138
388,user,78,15,19
389,gpt,686,113,171
390,user,27,6,6
391,gpt,1320,220,330
392,user,38,8,9
393,gpt,767,131,191
394,user,17,4,4
395,gpt,1386,244,346
396,user,90,19,22
397,gpt,1211,201,302
398,user,43,8,10
399,gpt,2089,339,522
400,user,16,2,4
401,gpt,1759,297,439
402,user,87,17,21
403,gpt,787,135,196
404,user,19,3,4
405,gpt,959,166,239
406,user,37,7,9
407,gpt,1105,179,276
408,user,12,1,3
409,gpt,1283,203,320
410,user,138,29,34
411,gpt,709,118,177
412,user,46,10,11
413,gpt,1671,283,417
414,user,31,4,7
415,gpt,1016,172,254
416,user,83,15,20
417,gpt,1525,271,381
418,user,3,1,1
419,gpt,932,162,233
420,user,16,2,4
421,gpt,480,84,120
422,user,39,10,9
423,gpt,690,120,172
424,user,179,34,44
425,gpt,1388,222,347
426,user,65,11,16
427,gpt,1104,173,276
428,user,124,23,31
429,gpt,1847,302,461
430,user,146,25,36
431,gpt,2010,343,502
432,user,234,45,58
433,gpt,1464,250,366
434,user,68,12,17
435,gpt,1587,264,396
436,user,123,22,30
437,gpt,1908,293,477
438,user,22,5,5
439,gpt,716,127,179
440,user,21,5,5
441,gpt,277,50,69
442,user,59,11,14
443,gpt,1033,171,258
444,user,74,11,18
445,gpt,1238,201,309
446,user,81,16,20
447,gpt,2167,379,541
448,user,150,30,37
449,gpt,1193,209,298
450,user,119,26,29
451,gpt,1653,279,413
452,user,110,22,27
453,gpt,1035,181,258
454,user,89,16,22
455,gpt,1634,265,408
456,user,84,13,21
457,gpt,414,78,103
458,user,90,18,22
459,gpt,876,158,219
460,user,58,10,14
461,gpt,897,167,224
462,user,50,10,12
463,gpt,900,161,225
464,user,89,15,22
465,gpt,986,178,246
466,user,8,2,2
467,gpt,806,143,201
468,user,148,27,37
469,gpt,1332,232,333
470,user,397,64,99
471,gpt,1482,215,370
472,user,97,18,24
473,gpt,1499,247,374
474,user,64,11,16
475,gpt,2421,367,605
476,user,57,12,14
477,gpt,500,90,125
478,user,58,12,14
479,gpt,414,68,103
480,user,11,2,2
481,gpt,1226,196,306
482,user,90,18,22
483,gpt,1724,299,431
484,user,64,12,16
485,gpt,2039,349,509
486,user,29,5,7
487,gpt,1936,328,484
488,user,32,7,8
489,gpt,2136,366,534
490,user,15,3,3
491,gpt,1416,253,354
492,user,16,3,4
493,gpt,2422,413,605
494,user,24,4,6
495,gpt,1443,236,360
496,user,21,3,5
497,gpt,1462,235,365
498,user,28,7,7
499,gpt,870,153,217
500,user,54,10,13
501,gpt,692,121,173
502,user,22,4,5
503,gpt,861,153,215
504,user,10,2,2
505,gpt,1077,188,269
506,user,25,4,6
507,gpt,716,122,179
508,user,12,2,3
509,gpt,1186,206,296
510,user,22,4,5
511,gpt,784,130,196
512,user,11,2,2
513,gpt,1251,210,312
514,user,12,2,3
515,gpt,1462,253,365
516,user,788,124,197
517,gpt,1225,203,306
518,user,82,16,20
519,gpt,959,164,239
520,user,20,4,5
521,gpt,419,75,104
522,user,97,18,24
523,gpt,746,118,186
524,user,18,4,4
525,gpt,1833,327,458
526,user,25,5,6
527,gpt,1941,325,485
528,user,16,3,4
529,gpt,1133,207,283
530,user,54,11,13
531,gpt,1107,201,276
532,user,27,4,6
533,gpt,1299,227,324
534,user,72,12,18
535,gpt,1391,242,347
536,user,24,5,6
537,gpt,1208,198,302
538,user,112,22,28
539,gpt,1201,199,300
540,user,62,12,15
541,gpt,1321,221,330
542,user,53,7,13
543,gpt,1387,214,346
544,user,31,6,7
545,gpt,431,78,107
546,user,28,6,7
547,gpt,460,86,115
548,user,32,6,8
549,gpt,1140,211,285
550,user,28,6,7
551,gpt,618,107,154
552,user,152,29,38
553,gpt,1086,191,271
554,user,54,13,13
555,gpt,1462,263,365
556,user,180,30,45
557,gpt,1603,286,400
558,user,287,59,71
559,gpt,1152,210,288
560,user,139,30,34
561,gpt,1057,199,264
562,user,84,17,21
563,gpt,1032,190,258
564,user,111,24,27
565,gpt,430,70,107
566,user,2,1,1
567,gpt,178,30,44
568,user,91,18,22
569,gpt,627,110,156
570,user,64,12,16
571,gpt,526,85,131
572,user,108,22,27
573,gpt,954,153,238
574,user,83,17,20
575,gpt,949,158,237
576,user,172,34,43
577,gpt,948,158,237
578,user,116,24,29
579,gpt,1000,175,250
580,user,125,23,31
581,gpt,1558,281,389
582,user,122,22,30
583,gpt,1257,214,314
584,user,54,10,13
585,gpt,1292,206,323
586,user,193,37,48
587,gpt,2590,423,647
588,user,77,16,19
589,gpt,1000,174,250
590,user,50,8,12
591,gpt,687,115,171
592,user,236,39,59
593,gpt,726,135,181
594,user,129,25,32
595,gpt,1084,181,271
596,user,70,11,17
597,gpt,634,103,158
598,user,193,37,48
599,gpt,1082,180,270
600,user,65,12,16
601,gpt,1377,224,344
602,user,16,4,4
603,gpt,1044,176,261
604,user,164,32,41
605,gpt,902,148,225
606,user,43,6,10
607,gpt,989,173,247
608,user,121,20,30
609,gpt,890,144,222
610,user,14,2,3
611,gpt,970,161,242
612,user,185,32,46
613,gpt,1180,182,295
614,user,125,24,31
615,gpt,1067,180,266
616,user,80,12,20
617,gpt,775,134,193
618,user,134,23,33
619,gpt,556,91,139
620,user,437,81,109
621,user,34,7,8
622,gpt,1094,193,273
623,user,217,40,54
624,gpt,1480,257,370
625,user,27,6,6
626,gpt,1048,183,262
627,user,75,15,18
628,gpt,762,123,190
629,user,163,31,40
630,gpt,929,154,232
631,user,97,15,24
632,gpt,633,106,158
633,user,54,10,13
634,gpt,1434,238,358
635,user,106,14,26
636,gpt,1373,219,343
637,user,80,14,20
638,gpt,916,155,229
639,user,150,22,37
640,gpt,668,103,167
641,user,85,18,21
642,gpt,987,155,246
643,user,19,4,4
644,gpt,1182,190,295
645,user,135,24,33
646,gpt,1248,201,312
647,user,31,7,7
648,gpt,913,144,228
649,user,634,124,158
650,gpt,1190,182,297
651,user,84,16,21
652,gpt,1318,208,329
653,user,255,51,63
654,gpt,1363,205,340
655,user,76,16,19
656,gpt,791,117,197
657,user,226,44,56
658,gpt,1405,203,351
659,user,96,16,24
660,gpt,1921,298,480
661,user,48,8,12
662,gpt,936,138,234
663,user,226,41,56
664,gpt,848,144,212
665,user,60,10,15
666,gpt,892,123,223
667,user,131,23,32
668,gpt,1036,161,259
669,user,53,10,13
670,gpt,877,143,219
671,user,782,140,195
672,gpt,1508,241,377
673,user,137,24,34
674,gpt,831,135,207
675,user,127,22,31
676,gpt,716,110,179
677,user,65,10,16
678,gpt,696,116,174
679,user,54,12,13
680,gpt,471,78,117
681,user,173,31,43
682,gpt,708,119,177
683,user,199,40,49
684,gpt,708,122,177
685,user,24,6,6
686,gpt,310,56,77
687,user,129,24,32
688,gpt,1105,171,276
689,user,260,51,65
690,gpt,1489,227,372
691,user,148,27,37
692,gpt,947,153,236
693,user,38,8,9
694,gpt,582,99,145
695,user,145,29,36
696,gpt,339,58,84
697,user,19,3,4
698,gpt,156,27,39
699,user,368,62,92
700,gpt,1621,270,405
701,user,145,28,36
702,gpt,1330,214,332
703,user,48,9,12
704,gpt,1448,216,362
705,user,368,61,92
706,gpt,1276,199,319
707,user,136,25,34
708,gpt,695,129,173
709,user,100,20,25
710,gpt,790,138,197
711,user,422,82,105
712,gpt,1097,186,274
713,user,224,41,56
714,gpt,1028,168,257
715,user,96,15,24
716,gpt,641,105,160
717,user,110,23,27
718,gpt,600,97,150
719,user,67,13,16
720,gpt,580,103,145
721,user,101,19,25
722,gpt,660,117,165
723,user,29,5,7
724,gpt,782,145,195
725,user,43,9,10
726,gpt,225,42,56
727,user,79,16,19
728,gpt,354,65,88
729,user,42,7,10
730,gpt,818,139,204
731,user,44,8,11
732,gpt,1122,179,280
733,user,23,4,5
734,gpt,525,90,131
735,user,104,21,26
736,gpt,816,139,204
737,user,62,12,15
738,gpt,691,128,172
739,user,126,21,31
740,gpt,1451,226,362
741,user,132,29,33
742,gpt,1141,201,285
743,user,120,22,30
744,gpt,1185,198,296
745,user,161,32,40
746,gpt,1190,200,297
747,user,48,7,12
748,gpt,660,111,165
749,user,22,4,5
750,gpt,593,102,148
751,user,17,3,4
752,gpt,1385,172,346
753,user,19,4,4
754,gpt,864,125,216
755,user,125,22,31
756,gpt,638,106,159
757,user,100,21,25
758,gpt,698,119,174
759,user,102,22,25
760,gpt,2066,337,516
761,user,222,44,55
762,gpt,997,162,249
763,user,249,46,62
764,gpt,1020,179,255
765,user,169,34,42
766,gpt,1026,175,256
767,user,168,31,42
768,gpt,962,155,240
769,user,88,20,22
770,gpt,951,158,237
771,user,110,18,27
772,gpt,618,101,154
773,user,60,12,15
774,gpt,633,115,158
775,user,182,36,45
776,gpt,1174,202,293
777,user,256,47,64
778,gpt,1252,210,313
779,user,68,15,17
780,gpt,761,132,190
781,user,124,23,31
782,gpt,883,143,220
783,user,24,5,6
784,gpt,621,106,155
785,user,106,24,26
786,gpt,787,145,196
787,user,198,41,49
788,gpt,484,86,121
789,user,187,38,46
790,gpt,507,86,126
791,user,41,8,10
792,gpt,554,100,138
793,user,66,12,16
794,gpt,389,56,97
795,user,45,6,11
796,gpt,500,79,125
797,user,89,19,22
798,gpt,191,30,47
799,user,30,7,7
800,gpt,1467,230,366
801,user,310,56,77
802,gpt,1243,205,310
803,user,49,10,12
804,gpt,720,121,180
805,user,22,4,5
806,gpt,581,103,145
807,user,72,13,18
808,gpt,603,98,150
809,user,31,5,7
810,gpt,438,74,109
811,user,133,27,33
812,gpt,472,70,118
813,user,41,7,10
814,gpt,1363,226,340
815,user,193,36,48
816,gpt,945,165,236
817,user,263,50,65
818,gpt,827,148,206
819,user,138,23,34
820,gpt,1220,197,305
821,user,50,11,12
822,gpt,658,105,164
823,user,63,13,15
824,gpt,668,115,167
825,user,38,8,9
826,gpt,673,104,168
827,user,50,10,12
828,gpt,777,125,194
829,user,234,44,58
830,gpt,1743,286,435
831,user,39,8,9
832,gpt,1405,230,351
833,user,142,26,35
834,gpt,1047,172,261
835,user,94,17,23
836,gpt,766,134,191
837,user,30,5,7
838,gpt,1123,182,280
839,user,59,11,14
840,gpt,1102,174,275
841,user,57,9,14
842,gpt,459,84,114
843,user,198,32,49
844,gpt,716,118,179
845,user,178,35,44
846,gpt,843,140,210
847,user,64,13,16
848,gpt,815,133,203
849,user,202,43,50
850,gpt,796,143,199
851,user,95,15,23
852,gpt,544,93,136
853,user,64,11,16
854,gpt,542,91,135
855,user,74,12,18
856,gpt,890,138,222
857,user,182,30,45
858,gpt,926,152,231
859,user,61,11,15
860,gpt,816,134,204
861,user,118,20,29
862,gpt,746,133,186
863,user,61,11,15
864,gpt,776,133,194
865,user,180,28,45
866,gpt,1615,255,403
867,user,89,16,22
868,gpt,1238,202,309
869,user,11,2,2
870,gpt,1033,171,258
871,user,109,21,27
872,gpt,814,142,203
873,user,67,12,16
874,gpt,626,95,156
875,user,52,8,13
876,gpt,320,51,80
877,user,149,19,37
878,gpt,1285,199,321
879,user,125,23,31
880,gpt,982,170,245
881,user,254,50,63
882,gpt,981,170,245
883,user,68,11,17
884,gpt,832,140,208
885,user,90,17,22
886,gpt,814,131,203
887,user,84,16,21
888,gpt,720,117,180
889,user,1494,219,373
890,gpt,2980,485,745
891,user,55,13,13
892,gpt,1587,270,396
893,user,92,19,23
894,gpt,1158,190,289
895,user,102,20,25
896,gpt,1480,261,370
897,user,137,23,34
898,gpt,520,92,130
899,user,356,71,89
900,user,13,3,3
901,gpt,500,84,125
902,user,59,11,14
903,gpt,657,108,164
904,user,212,46,53
905,gpt,774,149,193
906,user,41,6,10
907,gpt,904,147,226
908,user,287,52,71
909,gpt,1121,184,280
910,user,51,12,12
911,gpt,781,138,195
912,user,35,7,8
913,gpt,566,98,141
914,user,60,13,15
915,gpt,1860,291,465
916,user,229,41,57
917,gpt,1649,275,412
918,user,56,11,14
919,gpt,1057,178,264
920,user,571,87,142
921,gpt,1732,255,433
922,user,103,20,25
923,gpt,665,110,166
924,user,188,34,47
925,gpt,716,120,179
926,user,368,57,92
927,gpt,1205,185,301
928,user,108,19,27
929,gpt,507,79,126
930,user,208,37,52
931,gpt,950,147,237
932,user,84,16,21
933,gpt,835,143,208
934,user,50,10,12
935,gpt,481,77,120
936,user,55,8,13
937,gpt,520,87,130
938,user,117,21,29
939,gpt,854,144,213
940,user,81,15,20
941,gpt,729,125,182
942,user,153,21,38
943,gpt,2874,407,718
944,user,80,18,20
945,gpt,461,63,115
946,user,239,47,59
947,gpt,283,45,70
948,user,95,19,23
949,gpt,136,24,34
950,user,97,17,24
951,gpt,2856,383,714
952,user,109,20,27
953,gpt,1168,183,292
954,user,157,25,39
955,gpt,1321,214,330
956,user,149,27,37
957,gpt,1612,271,403
958,user,96,17,24
959,gpt,651,108,162
960,user,244,46,61
961,gpt,1949,296,487
962,user,180,34,45
963,gpt,3719,538,929
964,user,84,15,21
965,gpt,1421,235,355
966,user,323,57,80
967,gpt,1576,249,394
968,user,313,47,78
969,gpt,1392,194,348
970,user,92,18,23
971,gpt,968,151,242
972,user,185,34,46
973,gpt,1140,185,285
974,user,195,38,48
975,gpt,1363,212,340
976,user,268,53,67
977,gpt,1444,225,361
978,user,111,20,27
979,gpt,1331,224,332
980,user,264,48,66
981,gpt,1253,198,313
982,user,157,28,39
983,gpt,843,124,210
984,user,105,22,26
985,gpt,920,147,230
986,user,154,27,38
987,gpt,707,110,176
988,user,71,13,17
989,gpt,903,136,225
990,user,58,12,14
991,gpt,862,123,215
992,user,232,47,58
993,gpt,630,98,157
994,user,173,30,43
995,gpt,1813,258,453
996,user,427,69,106
997,gpt,2057,295,514
998,user,164,31,41
999,gpt,828,123,207
1000,user,348,61,87
1001,gpt,1667,267,416
1002,user,61,10,15
1003,gpt,328,52,82
1004,user,121,25,30
1005,gpt,1051,163,262
1006,user,129,23,32
1007,gpt,669,109,167
1008,user,422,78,105
1009,gpt,838,132,209
1010,user,161,30,40
1011,gpt,779,129,194
1012,user,44,11,11
1013,gpt,688,115,172
1014,user,106,22,26
1015,gpt,618,113,154
1016,user,150,26,37
1017,gpt,641,111,160
1018,user,110,20,27
1019,gpt,922,143,230
1020,user,114,23,28
1021,gpt,660,113,165
1022,user,196,38,49
1023,gpt,721,121,180
1024,user,163,34,40
1025,gpt,875,147,218
1026,user,114,19,28
1027,gpt,856,132,214
