turn,speaker,chars,words,tokens_est
161,user,113,17,28
162,gpt,1714,281,428
163,user,14,3,3
164,gpt,655,111,163
165,user,75,15,18
166,gpt,1058,179,264
167,user,51,10,12
168,gpt,818,153,204
169,user,108,22,27
170,gpt,651,118,162
171,user,34,8,8
172,gpt,1561,280,390
173,user,49,12,12
174,gpt,627,116,156
175,user,186,31,46
176,gpt,796,136,199
177,user,10,2,2
178,gpt,415,74,103
179,user,149,32,37
180,gpt,1080,180,270
181,user,14,4,3
182,gpt,505,92,126
183,user,104,20,26
184,gpt,881,158,220
185,user,14,3,3
186,gpt,431,76,107
187,user,6,1,1
188,gpt,907,154,226
189,user,78,14,19
190,gpt,644,112,161
191,user,54,9,13
192,gpt,916,159,229
193,user,32,5,8
194,gpt,353,60,88
195,user,20,4,5
196,gpt,1066,187,266
197,user,23,5,5
198,gpt,572,105,143
199,user,66,14,16
200,gpt,900,158,225
201,user,33,7,8
202,gpt,1228,211,307
203,user,49,9,12
204,gpt,928,165,232
205,user,63,12,15
206,gpt,1011,183,252
207,user,230,46,57
208,gpt,1339,229,334
209,user,3,1,1
210,gpt,546,96,136
211,user,66,13,16
212,gpt,887,157,221
213,user,3,1,1
214,gpt,469,81,117
215,user,48,10,12
216,gpt,1132,191,283
217,user,43,11,10
218,gpt,1301,227,325
219,user,79,13,19
220,gpt,851,145,212
221,user,50,10,12
222,gpt,795,134,198
223,user,111,21,27
224,gpt,1128,201,282
225,user,122,22,30
226,gpt,1274,220,318
227,user,135,25,33
228,gpt,1074,186,268
229,user,168,31,42
230,gpt,1049,181,262
231,user,65,12,16
232,gpt,531,93,132
233,user,205,37,51
234,gpt,1145,204,286
235,user,10,3,2
236,gpt,580,112,145
237,user,33,8,8
238,gpt,670,117,167
239,user,66,14,16
240,gpt,724,112,181
241,user,40,7,10
242,gpt,728,130,182
243,user,109,18,27
244,gpt,1480,240,370
245,user,39,6,9
246,gpt,538,96,134
247,user,52,12,13
248,gpt,835,151,208
249,user,26,6,6
250,gpt,1186,204,296
251,user,44,8,11
252,gpt,737,133,184
253,user,60,12,15
254,gpt,948,170,237
255,user,17,4,4
256,gpt,808,141,202
257,user,81,14,20
258,gpt,716,120,179
259,user,56,12,14
260,gpt,814,141,203
261,user,47,11,11
262,gpt,575,100,143
263,user,89,14,22
264,gpt,991,170,247
265,user,6,2,1
266,gpt,567,100,141
267,user,24,7,6
268,gpt,959,174,239
269,user,43,9,10
270,gpt,713,132,178
271,user,60,13,15
272,gpt,1198,214,299
273,user,59,12,14
274,gpt,661,120,165
275,user,32,6,8
276,gpt,556,97,139
277,user,15,3,3
278,gpt,812,141,203
279,user,28,5,7
280,gpt,808,145,202
281,user,32,7,8
282,gpt,709,123,177
283,user,22,4,5
284,gpt,618,115,154
285,user,44,8,11
286,gpt,767,132,191
287,user,31,6,7
288,gpt,897,150,224
289,user,65,13,16
290,gpt,1224,213,306
291,user,43,8,10
292,gpt,805,153,201
293,user,35,8,8
294,gpt,1103,190,275
295,user,42,8,10
296,gpt,809,142,202
297,user,16,3,4
298,gpt,308,52,77
299,user,32,6,8
300,gpt,977,173,244
301,user,52,10,13
302,gpt,914,161,228
303,user,48,11,12
304,gpt,1078,182,269
305,user,24,6,6
306,gpt,867,151,216
307,user,127,28,31
308,gpt,1364,243,341
309,user,26,6,6
310,gpt,527,91,131
311,user,124,26,31
312,gpt,335,55,83
313,user,87,17,21
314,gpt,267,47,66
315,user,27,5,6
316,gpt,336,56,84
317,user,159,27,39
318,gpt,682,119,170
319,user,26,7,6
320,gpt,556,97,139
321,user,167,32,41
322,gpt,1156,198,289
323,user,54,13,13
324,gpt,888,160,222
325,user,387,75,96
326,gpt,1087,193,271
327,user,49,10,12
328,gpt,827,153,206
329,user,17,4,4
330,gpt,614,108,153
331,user,220,39,55
332,gpt,851,155,212
333,user,130,24,32
334,gpt,698,124,174
335,user,66,11,16
336,gpt,1135,204,283
337,user,166,33,41
338,gpt,841,144,210
339,user,68,14,17
340,gpt,909,161,227
341,user,106,16,26
342,gpt,897,147,224
343,user,91,16,22
344,gpt,2163,356,540
345,user,235,36,58
346,gpt,2795,407,698
347,user,334,65,83
348,gpt,3002,468,750
349,user,189,34,47
350,gpt,1958,340,489
351,user,135,28,33
352,gpt,236,41,59
353,user,256,51,64
354,gpt,965,167,241
355,user,223,44,55
356,gpt,2848,482,712
357,user,266,54,66
358,gpt,1380,242,345
359,user,43,7,10
360,gpt,2900,480,725
361,user,82,15,20
362,gpt,2740,465,685
363,user,70,18,17
364,gpt,346,60,86
365,user,73,11,18
366,gpt,2549,404,637
367,user,11,2,2
368,gpt,2446,404,611
369,user,368,69,92
370,gpt,158,28,39
371,user,1678,281,419
372,user,103,20,25
373,gpt,696,127,174
374,user,13,2,3
375,gpt,363,68,90
376,user,104,23,26
377,gpt,651,105,162
378,user,61,11,15
379,gpt,886,147,221
380,user,89,17,22
381,gpt,949,171,237
382,user,86,15,21
383,gpt,720,130,180
384,user,287,50,71
385,gpt,1175,201,293
386,user,61,12,15
387,gpt,678,118,169
388,user,98,17,24
389,gpt,448,73,112
390,user,216,36,54
391,gpt,1690,288,422
392,user,67,12,16
393,gpt,2170,359,542
394,user,58,12,14
395,gpt,814,150,203
396,user,37,6,9
397,gpt,173,29,43
398,user,479,76,119
399,user,70,13,17
400,gpt,844,152,211
401,user,156,33,39
402,gpt,830,153,207
403,user,28,6,7
404,gpt,845,148,211
405,user,39,8,9
406,gpt,1223,222,305
407,user,22,3,5
408,gpt,1172,215,293
409,user,22,3,5
410,gpt,1301,221,325
411,user,77,15,19
412,gpt,966,174,241
413,user,22,3,5
414,gpt,1248,221,312
415,user,22,3,5
416,gpt,1440,248,360
417,user,21,5,5
418,gpt,1224,223,306
419,user,26,5,6
420,gpt,1153,205,288
421,user,88,17,22
422,gpt,994,154,248
423,user,53,8,13
424,gpt,652,120,163
425,user,69,13,17
426,gpt,828,139,207
427,user,10,3,2
428,gpt,1224,198,306
429,user,53,7,13
430,gpt,1059,166,264
431,user,49,11,12
432,gpt,1413,251,353
433,user,112,21,28
434,gpt,1110,180,277
435,user,10,2,2
436,gpt,1340,231,335
437,user,76,18,19
438,gpt,1445,258,361
439,user,47,7,11
440,gpt,1082,180,270
441,user,195,36,48
442,gpt,1035,179,258
443,user,33,7,8
444,gpt,1295,228,323
445,user,26,4,6
446,gpt,1406,248,351
447,user,15,3,3
448,gpt,1477,244,369
449,user,14,3,3
450,gpt,1449,254,362
451,user,165,31,41
452,gpt,1579,266,394
453,user,59,13,14
454,gpt,1566,276,391
455,user,82,16,20
456,gpt,1431,262,357
457,user,176,32,44
458,gpt,1703,285,425
459,user,21,6,5
460,gpt,1632,283,408
461,user,25,4,6
462,gpt,1062,187,265
463,user,9,2,2
464,gpt,1546,272,386
465,user,69,17,17
466,gpt,997,177,249
467,user,92,21,23
468,gpt,1381,252,345
469,user,11,4,2
470,gpt,1501,262,375
471,user,19,5,4
472,gpt,177,33,44
473,user,1310,230,327
474,user,19,2,4
475,gpt,1715,309,428
476,user,78,11,19
477,gpt,1515,268,378
478,user,20,5,5
479,gpt,1590,292,397
480,user,28,7,7
481,gpt,1544,271,386
482,user,40,9,10
483,gpt,1434,247,358
484,user,12,3,3
485,gpt,1299,238,324
486,user,27,5,6
487,gpt,178,33,44
488,user,1267,215,316
489,user,13,3,3
490,gpt,1445,254,361
491,user,9,2,2
492,gpt,1500,274,375
493,user,35,5,8
494,gpt,1589,271,397
495,user,41,8,10
496,gpt,1653,292,413
497,user,17,3,4
498,gpt,1496,262,374
499,user,74,16,18
500,gpt,1657,288,414
501,user,20,5,5
502,gpt,1500,265,375
503,user,137,27,34
504,gpt,1646,270,411
505,user,107,22,26
506,gpt,1883,332,470
507,user,35,8,8
508,gpt,1580,263,395
509,user,87,16,21
510,gpt,1727,306,431
511,user,119,25,29
512,gpt,1535,261,383
513,user,54,10,13
514,gpt,1541,267,385
515,user,10,2,2
516,gpt,1514,271,378
517,user,38,7,9
518,gpt,1353,241,338
519,user,79,15,19
520,gpt,1540,276,385
521,user,35,6,8
522,gpt,1436,247,359
523,user,27,5,6
524,gpt,1267,221,316
525,user,37,8,9
526,gpt,741,132,185
527,user,177,33,44
528,gpt,985,170,246
529,user,127,25,31
530,gpt,1426,263,356
531,user,51,10,12
532,gpt,1346,227,336
533,user,78,10,19
534,gpt,2439,416,609
535,user,384,72,96
536,gpt,2689,493,672
537,user,163,30,40
538,gpt,1902,347,475
539,user,25,4,6
540,gpt,1061,190,265
541,user,300,59,75
542,gpt,2696,460,674
543,user,83,16,20
544,gpt,1599,277,399
545,user,325,66,81
546,gpt,1687,287,421
547,user,108,23,27
548,gpt,1107,210,276
549,user,74,13,18
550,gpt,737,134,184
551,user,63,14,15
552,gpt,1180,215,295
553,user,152,30,38
554,gpt,472,83,118
555,user,123,24,30
556,gpt,646,118,161
557,user,210,42,52
558,gpt,1731,306,432
559,user,169,36,42
560,gpt,1083,197,270
561,user,97,20,24
562,gpt,1399,250,349
563,user,268,52,67
564,gpt,1393,272,348
565,user,41,7,10
566,gpt,891,146,222
567,user,163,32,40
568,gpt,389,63,97
569,user,90,18,22
570,gpt,704,120,176
571,user,144,28,36
572,gpt,785,141,196
573,user,160,32,40
574,gpt,1593,287,398
575,user,15,3,3
576,gpt,546,93,136
577,user,101,19,25
578,gpt,1176,217,294
579,user,65,11,16
580,gpt,1636,262,409
581,user,211,40,52
582,gpt,1251,226,312
583,user,97,19,24
584,gpt,1199,218,299
585,user,227,46,56
586,gpt,1359,248,339
587,user,119,22,29
588,gpt,1000,176,250
589,user,771,130,192
590,gpt,1226,223,306
